Period,Total,,USA,,,,Overseas,,,,,Total,,USA,,,,Overseas,,,,,Period,Food Services and Drinking Places1 Receipts ,,,,,,,,Food Services and Drinking Places1 Receipts ,,,,,,,,Period,"Air Passenger Traffic 1,2",,,,,,,Other Transportation,,,Air Passenger Traffic ,,,,,,,Other Transportation ,,,Period,Employment in key tourism industries1 (000s),,,,,Hotel Industry2,,,,Consumer Price Index1,,,Employment in key tourism industries1 ,,,,,Hotel Industry2,,,,Consumer Price Index1,
,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,,Total,Same-day,Overnight,,Total,Asia,Europe,Other†,,,BC2,,,,Canada,,,,BC2,,,,Canada,,,,,Vancouver,,,,,Victoria,,BC Ferries,,,Vancouver,,,,,Victoria,,BC Ferries,,,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 (%),Room Rate ($),Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5,,Air transport5,Accom-modation,Food & beverage services,"Arts, entertain-ment & recreation",,Occupancy Rate3 ,Room Rate ,Room Revenue ($)4,,Traveller accom-modation,Restaurant meals5
,Annual data,,,,,,,,,,,Annual percent changes,,,,,,,,,,,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,Total,"Drinking
Places",Food Services,,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,Total,Domestic,Trans-border,Other Int'l.,,Total,,Vehicles,Passengers,,,Annual data,,,,,,,,,,,,Annual percent changes,,,,,,,,,,
Jun,441516,,355932,151682,204249,,85584,24305,36571,24700,,9.7921609,,8.427260653,7.591147681,9.056688398,,15.85915607,7.568046028,15.11898766,26.66017127,,May,1224597,57985.77656,1151012.317,,7032158,216515,6815643,,-0.607992286,-0.743113298,-1.40501098,,1.589569447,1.174288091,1.602802572,,May,"1,586",964.371,326.488,295.148,,140.444,,777.750245,"1,748",,15.15690574,24.24179179,5.030046453,1.702928265,,20.63355723,,-1.280333788,-1.596987289,,Jun,16256,35094.45338,183827.2336,46260.78916,,67.93518563,208.548883,"341,968",,112.4683595,164.5,,10.21764187,2.124704893,0.866477561,1.860942541,,-1.412332408,1.177108514,6.754165393,,1.408362792,0.366076876
Jul,474501,,376173,164696,211476,,98328,27194,40841,30291,,7.470850434,,5.686760392,8.579791933,3.538328217,,14.89063376,11.88644312,11.67591808,22.63562753,,Jun,1237488,56687.52377,1174926.165,,7124859,212933,6911925,,1.052672838,-2.238915934,2.077636225,,1.318243987,-1.654388841,1.412662019,,Jun,"1,882","1,069",433.524,379.823,,151.895,,780.8462164,"1,787",,18.67768803,10.83804884,32.78405332,28.68899671,,8.153427701,,0.398067565,2.236765685,,Jul,16941,35113.39484,184988.2128,47059.9702,,67.97037647,217.2560317,"335,380",,115.4419165,166.3,,4.21382874,0.053972819,0.631559973,1.727556004,,0.035190846,4.175111632,-1.926639066,,2.64390535,1.094224924
Aug,501329,,400621,168704,231916,,100708,29052,41043,30610,,5.653939612,,6.499137365,2.433574586,9.665399383,,2.420470263,6.832389498,0.494601014,1.053118088,,Jul,1225396,55338.36897,1180229.312,,7145230,214273,6930956,,-0.977140788,-2.379985419,0.451360016,,0.28591443,0.629305932,0.275335742,,Jul,"2,102","1,136",524.278,441.517,,162.002,,761.2648312,"1,755",,11.65473053,6.260700353,20.9340198,16.2428289,,6.653938576,,-2.5077134,-1.775827078,,Aug,16969,34608.14132,185512.6097,46606.43296,,67.58203866,216.4467023,"334,193",,116.8957795,166.8,,0.165279499,-1.438919616,0.283475844,-0.963743143,,-0.388337809,-0.372523319,-0.353720132,,1.259389189,0.300661455
Sep,521169,,419242,171990,247251,,101927,32533,38485,30906,,3.957481015,,4.648033927,1.947790212,6.612307905,,1.210430155,11.98196338,-6.232487879,0.967004247,,Aug,1246226,56397.42797,1197179.197,,7210163,212964,6997199,,1.699858658,1.913787898,1.436151807,,0.90876011,-0.610902914,0.955755599,,Aug,"2,149","1,174",524.348,450.556,,169.326,,778.2333843,"1,791",,2.271115954,3.401097014,0.013351695,2.047259788,,4.52093184,,2.228994745,2.018380188,,Sep,16880,34446.90756,186097.3055,47012.00479,,69.4082402,218.6640884,"350,231",,117.579103,166.6,,-0.524485827,-0.46588388,0.315178418,0.870205688,,1.826201542,1.024448987,4.798927578,,0.584557842,-0.119904077
Oct,584336,,468615,195636,272978,,115720,39770,39910,36038,,12.12025274,,11.77673038,13.74847375,10.40521575,,13.53223385,22.24510497,3.702741328,16.60518993,,Sep,1275017,56971.71797,1217174.051,,7307037,209812,7097225,,2.310255122,1.01829111,1.670163869,,1.343575728,-1.480062358,1.429514867,,Sep,"1,892","1,039",442.957,410.317,,151.005,,795.005055,"1,848",,-11.96972094,-11.54933415,-15.52232487,-8.930965296,,-10.81995677,,2.155095249,3.185664073,,Oct,16965,34645.35343,184198.9237,47200.34891,,70.6216426,215.7507802,"308,535",,132.3988481,167.5,,0.503554502,0.576091966,-1.020101662,0.400629826,,1.213402395,-1.332321291,-11.90537099,,12.60406374,0.540216086
Nov,596857,,472191,199640,272550,,124666,44933,39718,40012,,2.14277402,,0.763099773,2.046658079,-0.156789192,,7.730729347,12.98214735,-0.481082435,11.02724901,,Oct,1274337,56069.5796,1215984.967,,7344007,210981,7133025,,-0.053332622,-1.583484577,-0.097692225,,0.505950634,0.557165462,0.504422503,,Oct,"1,897","1,038",465.0824752,402.7523217,,144.2189113,,810.0816271,"1,887",,x,x,x,x,,x,,x,x,,Nov,17022,34904.92868,184840.3326,47829.68311,,70.94944889,217.12473,"310,045",,113.3920601,168,,0.335985853,0.749235386,0.348215312,1.333325322,,0.327806287,0.636822667,0.489580148,,-14.35570492,0.298507463
Dec,576007,,443126,190327,252799,,132881,48842,39273,44762,,-3.493299065,,-6.155348154,-4.664896814,-7.246743717,,6.589607431,8.699619433,-1.120398812,11.87143857,,Nov,1256295,54996.9119,1204298.026,,7254717,208294,7046423,,-1.415795037,-1.913101033,-0.961109004,,-1.215821281,-1.273574398,-1.214099208,,Nov,"1,903","1,023",466.8537241,417.0931856,,143.9348746,,782.7967,"1,812",,0.300595216,-1.464304603,0.380846191,3.560715375,,-0.196948323,,-3.368170084,-3.965498994,,Dec,17323,34977.82706,186505.9875,48952.49875,,71.38912589,223.1215387,"408,494",,114.8489982,167.5,,1.768299847,0.208848378,0.901131736,2.347528911,,0.439677007,2.76191878,31.75319655,,1.284867812,-0.297619048
Jan '23,638581,,506257,216825,289432,,132323,45797,42194,44329,,10.86340965,,14.24673795,13.92235468,14.49095922,,-0.419924594,-6.234388436,7.437679831,-0.967338367,,Dec,1241744,55668.42799,1203574.986,,7282678,207074,7075604,,-1.158247068,1.221006903,-0.060038256,,0.385418204,-0.585710582,0.414125011,,Dec,"1,856",930.0908451,452.7586909,428.9808135,,125.5996587,,712.7610242,"1,657",,-2.469288834,-9.078617128,-3.019154075,2.850113191,,-12.73854994,,-8.946853737,-8.570638345,,Jan '23,17131,35915.78037,186843.8992,49284.88458,,71.76472862,228.5086946,"409,159",,117.7332306,168.4,,-1.108353057,2.681565402,0.181180072,0.678996668,,0.375602722,2.414449051,0.162791968,,2.511325689,0.537313433
Feb,643620,,504274,216491,287783,,139345,54069,41496,43778,,0.789093318,,-0.391698288,-0.154041278,-0.569736588,,5.306711607,18.06231849,-1.654263639,-1.242978637,,Jan '23,1338884,58300.69758,1317230.64,,7662088,217980,7444108,,7.822868482,4.728478392,9.443171782,,5.209759377,5.266716246,5.208092482,,Jan '23,"1,954","1,021",483.6612152,462.7361738,,139.0201197,,811.9437834,"1,875",,5.284147603,9.733424138,6.825385113,7.868734278,,10.68510943,,13.91528939,13.17775089,,Feb,17264,36919.6532,188805.7492,49749.25867,,72.08953375,227.5227505,"394,775",,118.7197333,169.8,,0.776370323,2.795074552,1.049994166,0.942224148,,0.324805133,-0.431468964,-3.515577718,,0.837913579,0.831353919
Mar,630909,,497085,220599,276486,,133823,52877,40239,40704,,-1.974923091,,-1.425613853,1.897538466,-3.92552722,,-3.962826079,-2.204590431,-3.029207634,-7.021791768,,Feb,1332542,56066.32531,1263863.185,,7658086,210102,7447985,,-0.473678078,-3.83249663,-4.051489058,,-0.052231193,-3.614093036,0.052081458,,Feb,"1,966","1,006",482.891594,465.0390584,,135.0444329,,774.3973862,"1,849",,0.611956485,-1.40250614,-0.159124015,0.497666862,,-2.859792345,,-4.62426069,-1.382535683,,Mar,17226,37411.29644,187567.8055,49823.46286,,68.26356098,227.5863169,"377,942",,122.0982687,170.5,,-0.220111214,1.331657236,-0.655670559,0.149156372,,-3.82597277,0.027938493,-4.263941436,,2.84580778,0.412249706
Apr,622143,,488946,220045,268901,,133196,52008,37697,43487,,-1.389423831,,-1.637345726,-0.251134411,-2.743357711,,-0.468529326,-1.643436655,-6.317254405,6.837165881,,Mar,1323828,55356.29792,1254741.229,,7592030,206836,7385194,,-0.653938112,-1.266406136,-0.72175185,,-0.862565398,-1.554483061,-0.843060237,,Mar,"2,055","1,051",500.991877,488.0494775,,135.3174588,,797.7897349,"1,890",,4.550042416,4.443245507,3.748311869,4.948061614,,0.202174812,,3.020716374,2.186458753,,Apr,17365,37000.36843,187034.0497,50156.51748,,68.37141103,229.1305192,"401,689",,120.73014,171.8,,0.806919772,-1.098406219,-0.284566836,0.66846943,,0.107850052,0.67851277,6.283128022,,-1.120514427,0.762463343
May,629346,,498293,233558,264734,,131053,51779,37198,42073,,1.157772409,,1.911663047,6.14101661,-1.549640946,,-1.608907174,-0.440316874,-1.323712762,-3.251546439,,Apr,1321676,55044.43936,1261411.007,,7684988,206673,7478315,,-0.162558882,-0.563365995,0.53156607,,1.224415604,-0.078806397,1.260914744,,Apr,"2,050","1,060",495.5222586,500.71326,,146.7401254,,797.711507,"1,849",,-0.2337282,0.827258331,-1.091757904,2.59477431,,8.441384239,,-0.009805572,-2.166807178,,May,17571,37007.94456,188097.8193,51688.32851,,66.68629769,205.4587124,"393,146",,120.3551856,172.6,,1.18629427,0.020475814,0.568757167,3.054061787,,-1.68511334,-10.33114525,-2.126599854,,-0.310572309,0.465657742
Jun,638196,,502025,240904,261120,,136170,57994,38353,39822,,1.406221697,,0.748956939,3.145257281,-1.36514388,,3.904527176,12.00293555,3.105005645,-5.35022461,,May,1335721,57653.89924,1266091.248,,7676519,209916,7466603,,1.062665888,4.740642115,0.371032214,,-0.110201864,1.569145462,-0.15661282,,May,"2,054","1,105",483.9482466,494.5305758,,144.0975354,,810.2434779,"1,919",,0.190456635,4.29201267,-2.335719888,-1.234775411,,-1.800863949,,1.570990366,3.787985785,,June,17726,37322.8756,189127.7826,51624.968,,67.998592,229.5489008,"369,549",,125.8598806,174.4,,0.882135337,0.850982273,0.547567883,-0.122581844,,1.312294306,11.72507512,-6.002296423,,4.573708158,1.042873696
Jul,649728,,514054,235811,278242,,135673,55605,37901,42159,,1.806968392,,2.396095812,-2.114120147,6.55713848,,-0.364984945,-4.119391661,-1.1785258,5.868615338,,Jun,1343045,54871.50177,1281415.268,,7701923,207985,7493938,,0.548318099,-4.8260352,1.21034087,,0.330931246,-0.919891766,0.366096872,,June,"2,093","1,078",489.227578,518.2852668,144.9123473,144.9123473,,791.2260516,"1,862",,1.886244052,-2.431368834,1.090887604,4.803482775,,0.565458606,,-2.347124896,-2.955823074,,July,17669,37539.80571,188713.3061,51535.92067,,68.8156489,231.4462189,"388,499",,129.0651974,175.6,,-0.321561548,0.581225584,-0.219151527,-0.172488885,,0.817056903,0.826542022,5.127978822,,2.546734396,0.688073394
Aug,645657,,511925,233694,278230,,133732,51722,37953,44055,,-0.626569888,,-0.414158824,-0.897752861,-0.004312792,,-1.430645744,-6.983184965,0.137199546,4.497260371,,Jul,1341375,54567.94992,1292172.836,,7762347,210355,7551992,,-0.124344307,-0.553204925,0.839506734,,0.784531344,1.139505253,0.774679481,,July,"2,091","1,079",499.0698512,516.6256441,,150.0100291,,787.1071741,"1,878",,-0.107248998,0.025859732,2.011798515,-0.320214139,,3.517769131,,-0.52056899,0.874020535,,Aug,17589,37061.84397,187715.7685,50688.17289,,66.57775511,227.5382512,"379,607",,126.4556984,176,,-0.452770389,-1.273213133,-0.528599535,-1.644964862,,-2.237893793,-1.688499264,-2.28882333,,-2.02184565,0.227790433
Sep,667076,,524628,246115,278513,,142447,59014,39271,44160,,3.317396079,,2.481418176,5.315070134,0.101714409,,6.516764873,14.0984494,3.472716254,0.238338441,,Aug,1333982,55204.55322,1282910.585,,7717851,208938,7508913,,-0.551150871,1.166624924,-0.716796601,,-0.57322869,-0.673623161,-0.570432278,,Aug,"2,106","1,081",496.8969915,512.2066467,,150.7765753,,778.8389689,"1,846",,0.739971308,0.233631128,-0.435381883,-0.855357739,,0.510996634,,-1.050454807,-1.708372982,,Sep,17550,37178.07202,188307.9518,50962.83543,,68.62203604,239.4052041,"368,346",,152.2604999,176.6,,-0.22172949,0.313605701,0.315468063,0.541867131,,2.04428093,5.215366123,-2.966434093,,20.40619903,0.340909091
Oct,682170,,524664,247193,277471,,157506,64946,42739,49820,,2.262710696,,0.006862005,0.438006623,-0.374129753,,10.57165121,10.0518521,8.830943954,12.81702899,,Sep,1356571,55983.53634,1296692.155,,7798228,211242,7586986,,1.693351185,1.411084899,1.074242465,,1.041442754,1.102719467,1.039737709,,Sep,"2,126","1,120",500.2558167,522.4424488,,149.3767315,,785.81384,"1,871",,0.941591501,3.594034081,0.675960071,1.998373556,,-0.928422607,,0.895547266,1.341056505,,Oct,17482,36802.60574,187959.8712,50654.60961,,68.46987263,236.4528172,"393,271",,157.45251,177.7,,-0.387464387,-1.009913284,-0.184846457,-0.604805096,,-0.152163407,-1.233217529,6.766696398,,3.409952136,0.622876557
Nov,674702,,522328,232180,290148,,152373,62108,43470,46793,,-1.09474178,,-0.445237333,-6.073392046,4.568765745,,-3.25892347,-4.369784128,1.710381619,-6.075873143,,Oct,1356848,55963.07809,1299793.149,,7794354,209161,7585193,,0.02041913,-0.036543327,0.239146465,,-0.049677952,-0.985126064,-0.023632573,,Oct,"2,166","1,119",528.5369961,530.6220177,,150.6082116,,797.4856832,"1,900",,1.87990159,-0.044721514,5.653343437,1.565640163,,0.824412232,,1.485319109,1.548707559,,Nov,17295,36619.71613,187247.3844,50965.02833,,68.64300877,230.1063869,"377,612",,120.7908465,178.3,,-1.069671662,-0.496947438,-0.379063223,0.612814355,,0.173136137,-2.684015506,-3.98167496,,-23.28426745,0.337647721
Dec,672994,,522067,237940,284126,,150927,60246,41156,49523,,-0.253148798,,-0.049968602,2.480833836,-2.075492507,,-0.948987025,-2.998003478,-5.32321141,5.834205971,,Nov,1351291,56118.0831,1296821.012,,7844466,204993,7639474,,-0.409552138,0.276977289,-0.228662287,,0.642926919,-1.992723309,0.715617915,,Nov,"2,147","1,067",553.6273724,524.2534048,,148.6712723,,806.2279377,"1,893",,-0.863099654,-4.683522312,4.747137188,-1.200216463,,-1.286078118,,1.096227144,-0.380049144,,Dec,17343,36456.03784,187311.6124,50540.01297,,67.12858015,233.1131702,"361,525",,120.578809,180.1,,0.27753686,-0.446967654,0.034301145,-0.833935294,,-1.514428613,1.306692689,-4.260134903,,-0.17554105,1.009534492
Jan '24,638358,,485376,217415,267961,,152981,65572,41204,46204,,-5.146554055,,-7.028025139,-8.626124233,-5.689377248,,1.36092283,8.840420941,0.11662941,-6.701936474,,Dec,1374784,57600.63816,1324671.687,,7934074,208226,7725847,,1.738559644,2.641849069,2.147611313,,1.142308476,1.577127024,1.13061449,,Dec,"2,129","1,026",532.9422027,541.2510256,,147.7751608,,790.604455,"1,844",,-0.861247843,-3.889920704,-3.73629823,3.24225281,,-0.602746938,,-1.937849325,-2.606734031,,Jan '24,17211,36597.07814,186516.9081,50669.38431,,67.81234529,232.4742265,"382,555",,123.1599262,180.3,,-0.761113994,0.386877742,-0.424268607,0.255978061,,0.683765131,-0.274091655,5.816761894,,2.140606032,0.111049417
Feb,704510,,549536,252267,297268,,154974,65090,42444,47438,,10.36283715,,13.21861814,16.03017271,10.93703935,,1.302776162,-0.735069847,3.009416561,2.670764436,,Jan '24,1303560,55332.13078,1280331.211,,7738682,207380,7531301,,-5.18074112,-3.93833723,-3.347280421,,-2.462694449,-0.40628932,-2.518118725,,Jan '24,"2,136","1,067",535.6053939,546.8373907,,150.8596303,,764.2829129,"1,804",,0.349410239,4.038361721,0.499714834,1.032120928,,2.087271994,,-3.32929343,-2.162370118,,Feb,17201,36275.42905,185420.0384,49952.97575,,67.73398316,236.4110537,"387,590",,125.5103072,180.5,,-0.058102376,-0.878892813,-0.588080548,-1.413888442,,-0.078362123,1.693446738,1.316405777,,1.908397525,0.110926234
Mar,683658,,539800,248759,291041,,143858,63121,39778,40957,,-2.959787654,,-1.771676469,-1.390590129,-2.094742791,,-7.172816085,-3.025042249,-6.281217604,-13.66204309,,Feb,1385247,56108.02165,1319241.613,,7924371,207549,7716822,,6.266454939,1.402242877,3.039088836,,2.399491283,0.081492912,2.463332696,,Feb,"2,214","1,048",545.2417417,570.8921708,,157.9233331,,816.1495252,"1,960",,3.644712828,-1.813918606,1.799150622,4.398890886,,4.682301535,,6.786310597,8.641594378,,Mar,17364,37125.33913,187607.011,50474.51727,,65.22495774,236.0785527,"386,489",,120.2943403,179.1,,0.947619324,2.342935974,1.179469376,1.044064981,,-2.50902542,-0.140645289,-0.284211767,,-4.155807643,-0.775623269
Apr,703660,,553998,257605,296393,,149661,64608,43875,41176,,2.925731872,,2.63023342,3.556052243,1.838916166,,4.033838924,2.355792842,10.29966313,0.534707132,,Mar,1372537,54573.51193,1303344.105,,7914650,205208,7709442,,-0.9175259,-2.734920369,-1.205049064,,-0.122672197,-1.127926417,-0.095635224,,Mar,"2,133","1,042",545.5471663,551.9917685,,156.0683191,,805.096368,"1,889",,-3.650889456,-0.558962444,0.056016364,-3.310678144,,-1.174629486,,-1.354305412,-3.582587582,,Apr,17615,36643.53819,184642.1447,51098.00574,,65.97419287,235.9692995,"389,697",,124.5130315,178.4,,1.445519466,-1.297768437,-1.58036006,1.235253959,,0.749235123,-0.046278321,0.830003274,,3.506973988,-0.390843104
May,712334,,553996,258050,295945,,158338,69363,44612,44362,,1.23269761,,-0.000361012,0.172745094,-0.151150668,,5.797769626,7.359769688,1.67977208,7.737517,,Apr,1363273,54967.52245,1308809.198,,7883779,203009,7680770,,-0.674954482,0.721981246,0.419313159,,-0.390048833,-1.071595649,-0.371907591,,Apr,"2,200","1,068",567.1107427,561.0625953,,150.7672317,,816.1020161,"1,899",,3.142313031,2.524291944,3.952651158,1.643290218,,-3.396645408,,1.366997609,0.509621682,,May,17767,37126.79655,186376.5164,51943.04974,,65.06114548,241.4476606,"397,730",,122.8276453,179.7,,0.862900937,1.31880922,0.939315176,1.653770994,,-0.913047381,2.321641457,2.06137598,,-1.353582171,0.728699552
Jun,696276,,548494,255498,292995,,147781,65223,40901,41642,,-2.254279594,,-0.993147965,-0.988955629,-0.996806839,,-6.667382435,-5.968599974,-8.318389671,-6.131373698,,May,1368593,53551.48008,1309998.291,,7911878,200978,7710900,,0.390237319,-2.576143713,0.090853041,,0.356415369,-1.000448256,0.392278378,,May,"2,202","1,075",585.8683197,555.7218681,,155.0491125,,813.8990774,"1,905",,0.075658091,0.625996925,3.307568619,-0.951895063,,2.840060666,,-0.269934231,0.324864008,,Jun,17865,37104.99278,184024.5727,51443.12264,,68.55412627,239.480594,"393,135",,121.5626362,180.8,,0.551584398,-0.058727866,-1.261931387,-0.96245234,,3.492980785,-0.81469687,-1.155401548,,-1.029905817,0.61213133
Jul,690375,,548906,254755,294151,,141468,62477,39892,39096,,-0.847508747,,0.075114769,-0.290804625,0.394545982,,-4.271861741,-4.210171259,-2.466932349,-6.1140195,,Jun,1374256,54101.09266,1315535.624,,7954389,203532,7750857,,0.413782622,1.026325648,0.422697745,,0.537306061,1.270785857,0.518188538,,Jun,"2,157","1,074",548.6955928,545.3486494,,153.4931102,,814.6643554,"1,916",,-2.057131842,-0.048750819,-6.34489451,-1.866620563,,-1.003554444,,0.094026161,0.552106514,,Jul,18094,37068.42988,186191.018,50975.17408,,69.12856193,238.2189154,"393,480",,121.2968911,180.8,,1.281835992,-0.098539029,1.17725875,-0.909642611,,0.574435663,-0.526839619,0.087876799,,-0.218607556,0
Aug,691979,,547103,256142,290960,,144875,64460,39959,40454,,0.232337498,,-0.328471542,0.544444663,-1.084816982,,2.408318489,3.17396802,0.167953474,3.473501125,,Jul,1388291,53442.74931,1337625.022,,7986458,201979,7784478,,1.021279878,-1.216876238,1.679118168,,0.403161072,-0.763024979,0.433771388,,Jul,"2,155","1,064",545.1886709,544.7593616,,155.9076983,,827.7515129,"1,934",,-0.065013303,-0.987319338,-0.639137967,-0.108057092,,1.573092127,,1.606447779,0.956866436,,Aug,16677,36891.50662,186208.0557,50733.96088,,68.31374899,241.1064121,"397,134",,119.6747535,181,,-7.831325301,-0.477288238,0.009150643,-0.473197398,,-0.814812939,1.212118978,0.928618725,,-1.337328259,0.110619469
Sep,708683,,555441,261729,293712,,153241,65066,44371,43803,,2.413946088,,1.524027468,2.181211984,0.945834479,,5.774633305,0.940117903,11.04131735,8.278538587,,Aug,1381014,53239.73175,1327555.926,,7995188,200557,7794630,,-0.524169645,-0.379878587,-0.752759254,,0.109310035,-0.704033588,0.130413369,,Aug,"2,189","1,072",552.7592281,554.7660739,,154.8860434,,815.5691053,"1,897",,1.576210646,0.835438485,1.388612334,1.83690507,,-0.655294722,,-1.471746939,-1.919352304,,Sep,16740,36601.32243,184268.8241,50121.51933,,69.38002402,241.450754,"396,524",,123.0633579,181.4,,0.377765785,-0.786588076,-1.041432719,-1.207162891,,1.066275026,0.142817415,-0.153578697,,2.831511465,0.220994475
Oct,689985,,543709,253679,290029,,146276,60636,42593,43043,,-2.638415201,,-2.112195535,-3.075700438,-1.253949447,,-4.545128262,-6.808471398,-4.007121769,-1.735040979,,Sep,1401473,53534.59786,1349680.484,,8077356,205043,7872313,,1.48144769,0.553845964,1.666563176,,1.027718172,2.236770594,0.996622033,,Sep,"2,146","1,037",558.2863481,559.2175747,,157.4537077,,816.1164607,"1,913",,-1.984587171,-3.284249711,0.999914561,0.802410427,,1.657776414,,0.067113311,0.84867171,,Oct,16660,36888.10267,183257.3512,51778.23513,,68.88909674,237.978039,"391,528",,117.9665432,181.8,,-0.477897252,0.783524258,-0.548911547,3.305398193,,-0.490927277,-1.438270497,-1.259990232,,-4.141618432,0.220507166
Nov,709833,,562277,260987,301290,,147555,60715,44473,42365,,2.876584274,,3.415062101,2.880806058,3.882715177,,0.87437447,0.130285639,4.413870824,-1.575169017,,Oct,1389859,52422.31597,1339967.234,,8104111,200350,7903761,,-0.828699518,-2.077687951,-0.719670369,,0.331234627,-2.288788205,0.399475986,,Oct,"2,174","1,073",549.6273137,566.9616927,,158.7508392,,809.2215845,"1,865",,1.310000283,3.476943665,-1.551002346,1.384813048,,0.823817751,,-0.84483975,-2.498715317,,Nov,16650,36891.92198,184197.9095,52766.09754,,70.33759455,247.5820027,"410,080",,118.9678755,182.1,,-0.06002401,0.010353776,0.513244482,1.907871929,,1.44849781,4.035651247,4.738488429,,0.848827413,0.165016502
Dec,806324,,656191,279474,376716,,150133,62081,48886,39161,,13.59347903,,16.70244381,7.08349458,25.03435229,,1.747145132,2.249855884,9.922874553,-7.562846689,,Nov,1427999,54402.86252,1370034.853,,8211191,205959,8005232,,2.744163257,3.778059995,2.243907078,,1.321304706,2.799600699,1.283831837,,Nov,"2,221","1,119",540.8746111,577.9587044,,160.9119242,,819.7310161,"1,923",,2.143011952,4.223151461,-1.592479567,1.939639291,,1.361306161,,1.298708765,3.117711788,,Dec,16706,37583.54257,185925.6502,52287.95757,,71.04126131,294.53249,"425,712",,190.7626921,177.5,,0.336336336,1.874720931,0.937980611,-0.906149962,,0.703666758,18.96361073,3.811891416,,60.34806986,-2.526084569
Jan' 25,733182,,579714,267183,312530,,153467,69092,43989,40385,,-9.071043402,,-11.65468591,-4.397904635,-17.03829941,,2.220697648,11.29331035,-10.01718283,3.125558591,,Dec,1460139,56540.98303,1401902.439,,8271535,205778,8065757,,2.250701856,3.930161785,2.326042001,,0.73489948,-0.087881569,0.756068032,,Dec,"2,278","1,119",556.408871,581.4501499,,159.9620504,,817.4560655,"1,911",,2.605380169,0.032954874,2.872063062,0.604099478,,-0.590306658,,-0.277524033,-0.646955235,,Jan '25,16670,37625.2301,187205.1322,52242.92618,,67.74685995,245.2369145,"402,981",,118.6721312,174.6,,-0.21549144,0.110919654,0.688168642,-0.086121917,,-3.294401359,-16.73688886,-5.33963611,,-37.79070221,-1.633802817
